state,year,month,api
Pahang,2017,11,20.25
Pahang,2017,12,24.47849462
Pahang,2018,1,22.48387097
Pahang,2018,2,33.83116883
Pahang,2018,3,30.91666667
Pahang,2018,4,28.9
Pahang,2018,5,21.65322581
Pahang,2018,6,23.06944444
Pahang,2018,7,34.31317204
Pahang,2018,8,49.41935484
Pahang,2018,9,57.26111111
Pahang,2018,10,49.74865591
Pahang,2018,11,44.75416667
Pahang,2018,12,36.47311828
Pahang,2019,1,47.21102151
Pahang,2019,2,53.23511905
Pahang,2019,3,67.97446237
Pahang,2019,4,73.11666667
Pahang,2019,5,56.71639785
Pahang,2019,6,55.23194444
Pahang,2019,7,57.21774194
Pahang,2019,8,67.14919355
Pahang,2019,9,78.3625
Pahang,2019,10,52.58736559
Pahang,2019,11,48.54583333
Pahang,2019,12,41.55107527
Pahang,2020,1,42.29569892
Pahang,2020,2,48.0316092
Pahang,2020,3,44.02553763
Pahang,2020,4,37.93333333
Pahang,2020,5,38.96774194
Pahang,2020,6,44.96383866
Pahang,2020,7,41.67876344
Pahang,2020,8,49.12096774
Pahang,2020,9,49.99563319
Pahang,2020,10,49.86962366
Pahang,2020,11,35.60138889
Pahang,2020,12,37.75403226
Pahang,2021,1,38.38709677
Pahang,2021,2,48.71279762
Pahang,2021,3,46.28360215
Pahang,2021,4,49.49444444
Pahang,2021,5,42.54301075
Pahang,2021,6,47.14166667
Pahang,2021,7,50.48387097
Pahang,2021,8,46.34139785
Pahang,2021,9,44.47638889
Pahang,2021,10,45.9233871
Pahang,2021,11,40.69498607
Pahang,2021,12,44.78763441
Pahang,2022,1,45.11978466
Pahang,2022,2,44.57078987
Pahang,2022,3,39.54166667
Pahang,2022,4,44.24027778
Pahang,2022,5,37.52564103
Melaka,2017,1,34.97311828
Melaka,2017,2,46.99702381
Melaka,2017,3,50.8077957
Melaka,2017,4,34.19277108
Melaka,2017,5,24.60382916
Melaka,2017,6,27.66031196
Melaka,2017,7,25.2594086
Melaka,2017,8,24.06081081
Melaka,2017,9,24.61805556
Melaka,2017,10,29.25787966
Melaka,2017,11,23.41925926
Melaka,2017,12,26.55167598
Melaka,2018,1,23.20458265
Melaka,2018,2,31.8969555
Melaka,2018,3,26.10483871
Melaka,2018,4,26.55
Melaka,2018,5,26.88157895
Melaka,2018,6,29.12676056
Melaka,2018,7,32.54617834
Melaka,2018,8,49.3221831
Melaka,2018,9,59.40833333
Melaka,2018,10,52.97983871
Melaka,2018,11,47.74305556
Melaka,2018,12,45.01075269
Melaka,2019,1,44.43951613
Melaka,2019,2,47.30246914
Melaka,2019,3,62.98924731
Melaka,2019,4,58.3625
Melaka,2019,5,56.02016129
Melaka,2019,6,51.67222222
Melaka,2019,7,59.02150538
Melaka,2019,8,70.72715054
Melaka,2019,9,95.06805556
Melaka,2019,10,59.12365591
Melaka,2019,11,50.99305556
Melaka,2019,12,40.19086022
Melaka,2020,1,43.29435484
Melaka,2020,2,43.2816092
Melaka,2020,3,50.92607527
Melaka,2020,4,44.07777778
Melaka,2020,5,49.04435484
Melaka,2020,6,49.78442281
Melaka,2020,7,49.08064516
Melaka,2020,8,56.93548387
Melaka,2020,9,48.86462882
Melaka,2020,10,48.2594086
Melaka,2020,11,43.69722222
Melaka,2020,12,47.63844086
Melaka,2021,1,40.31317204
Melaka,2021,2,52.3358209
Melaka,2021,3,50.91666667
Melaka,2021,4,56.96666667
Melaka,2021,5,53.73252688
Melaka,2021,6,57.76111111
Melaka,2021,7,56.97311828
Melaka,2021,8,49.00403226
Melaka,2021,9,47.37361111
Melaka,2021,10,49.99865591
Melaka,2021,11,44.25555556
Melaka,2021,12,43.25672043
Melaka,2022,1,42.30013459
Melaka,2022,2,42.48137109
Melaka,2022,3,48.16666667
Melaka,2022,4,50.21388889
Melaka,2022,5,57.56551724
Selangor,2017,1,26.15183
Selangor,2017,2,28.1482
Selangor,2017,3,28.25841
Selangor,2017,4,29.6244
Selangor,2017,5,25.2848
Selangor,2017,6,23.20458265
Selangor,2017,7,31.8969555
Selangor,2017,8,26.10483871
Selangor,2017,9,26.55
Selangor,2017,10,26.88157895
Selangor,2017,11,20.2599
Selangor,2017,12,26.32565
Selangor,2018,1,22.63091922
Selangor,2018,2,35.47071584
Selangor,2018,3,36.91053391
Selangor,2018,4,34.76251788
Selangor,2018,5,31.74687065
Selangor,2018,6,36.03337969
Selangor,2018,7,35.39750693
Selangor,2018,8,53.30597015
Selangor,2018,9,62.58194444
Selangor,2018,10,57.21505376
Selangor,2018,11,52.23472222
Selangor,2018,12,52.52143845
Selangor,2019,1,54.38306452
Selangor,2019,2,59.2202381
Selangor,2019,3,69.87903226
Selangor,2019,4,63.21666667
Selangor,2019,5,61.85483871
Selangor,2019,6,58.40416667
Selangor,2019,7,64.8561828
Selangor,2019,8,72.96370968
Selangor,2019,9,106.1013889
Selangor,2019,10,60.13306452
Selangor,2019,11,53.78303199
Selangor,2019,12,50.70564516
Selangor,2020,1,53.66397849
Selangor,2020,2,49.56178161
Selangor,2020,3,54.72715054
Selangor,2020,4,47.34583333
Selangor,2020,5,51.77150538
Selangor,2020,6,50.35187761
Selangor,2020,7,55.65322581
Selangor,2020,8,63.28225806
Selangor,2020,9,56.6055313
Selangor,2020,10,60.35215054
Selangor,2020,11,55.69444444
Selangor,2020,12,56.8561828
Selangor,2021,1,56.91263441
Selangor,2021,2,68.80505952
Selangor,2021,3,60.00806452
Selangor,2021,4,56.53888889
Selangor,2021,5,65.02419355
Selangor,2021,6,62.60972222
Selangor,2021,7,64.24462366
Selangor,2021,8,51.85215054
Selangor,2021,9,50.32916667
Selangor,2021,10,60.79973118
Selangor,2021,11,53.93741307
Selangor,2021,12,56.08536585
Selangor,2022,1,65.78897849
Selangor,2022,2,57.10119048
Selangor,2022,3,59.25
Selangor,2022,4,62.68669528
Selangor,2022,5,56.82051282
Kuala Lumpur,2017,1,40.53897849
Kuala Lumpur,2017,2,37.54166667
Kuala Lumpur,2017,3,40.49865591
Kuala Lumpur,2017,4,34.07361111
Kuala Lumpur,2017,5,32.17665615
Kuala Lumpur,2017,6,34.775
Kuala Lumpur,2017,7,34.11424731
Kuala Lumpur,2017,8,30.95833333
Kuala Lumpur,2017,9,27.74722222
Kuala Lumpur,2017,10,28.25403226
Kuala Lumpur,2017,11,22.89027778
Kuala Lumpur,2017,12,22.21908602
Kuala Lumpur,2018,1,18.56849315
